model,label,prediction,prob_positive,correct,text
BiGRU,0,0,1.68e-05,True,"""Direct-to-video"" is a phrase that never sounds promising to the consumer unless its a direct-to-video sequel to something that went direct-to-video in the first place. Despite this, studios have insisted on releasing numerous direct-to-video sequels over the years to cult hits. I don't think it even needs to be mentioned that these sequels rank among some of the worst titles of all time, including THE HITCHER II, STARSHIP TROOPERS 2, and CRUEL INTENTIONS 3. It's fitting that ROAD HOUSE 2 was helmed by Scott Ziehl as he was also the man in charge of ruining the Cruel Intentions series. Like his entry in the Cruel Intentions trilogy, Ziehl takes elements that made the first ROAD HOUSE a great guy flick, and rehashes them with no success whatsoever. This is no sequel, this is a remake all the way. Various lines from the original are repeated, plot points cut and pasted, and scenes are replicated almost shot-for-shot from the first one. The one thing that could not be duplicated were the amazing fight scenes, which made ROAD HOUSE what it was. Here, we get clumsily directed fight sequences that are either too short or too long and seemingly planned out and shot within an hour. Compare that with its predecessor's fight scenes that look like they took months and months to prepare. Ziehl is capable of directing action as he did well with the 2001 remake of EARTH VS. THE SPIDER, but none of the talent shown there comes through in this mess. It's not completely his fault, as the screenplay is very, very poorly written and clunky. I don't care if something goes direct-to-video, a good script is still required. Someone should keep that mind while continuously churning these low-budget, direct-to-DVD movies out. Skip it entirely. 1/10"
BiGRU,0,0,1.776e-05,True,"FLIGHT OF FURY takes the mantle of being the very WORST Steven Seagal flick I've ever seen...Up to now.<br /><br />It's a dreadful bore with no action scenes of any interest, Seagal isn't really trying in this - he's fat and his voice is dubbed once more.<br /><br />The Co-stars fare no better, being a rather sorry load of 3rd raters.<br /><br />The Direction by Keusch is very poor and it comes as no surprise that he's also responsible for another couple of Seagal stinkers (SHADOW MAN & ATTACK FORCE) The screenplay Co-written by Seagal himself is laughably inept.<br /><br />According to IMDb $12M was spent on this boring load of old tosh - If these figures are correct I sense a big tax fiddle as nowhere near that amount was spent.<br /><br />FLIGHT OF FURY is actually a shot for shot remake of the Michael Dudikoff flick BLACK THUNDER - which has to be better than this tripe.<br /><br />This has NO redeeming qualities whatsoever,Give it a MISS! 1/2 * out of *****"
BiGRU,0,0,1.794e-05,True,"This film was terrible. I have given it the high score of 2 as I have seen worse, but very few.<br /><br />From the clichéd start of having the end of the film at the start and going back to the start at the end this film used everything in the box of tricks used in film making just for the sake of it, like a kid with too many toys. There was the endless, boring repetitive narration, slow motion, freeze frame, flashbacks and merged images etc - none of which made a dull film any better.<br /><br />It is called ""16 years of alcohol"", but there was little drinking or drunkeness and no depiction of withdrawal with the film jumping about all over the place with no coherent sense. The story was badly written and extremely pretentious and the direction was equally poor and it is a shame that people have put up further money for more films by Mr Jobson, previously know for being in a rubbish group and on TV making as much sense as this film does.<br /><br />I found it a major struggle to see this to the end but in the hope of it getting better I carried on to the bitter but it really was a waste of time and I would have been better off not bothering."
BiGRU,1,0,0.0001987,False,"When the movie first started I thought cheesy. The first ten minutes were really boring. After the slow beginning and some of the soap opera antics, I started liking it. The plot was different than anything I had ever seen. Now, was it a horror? Not really. It shouldn't have been classied as a horror or the producers should have put more money into the movie to make it scary. As it was, the creatures where only there for a short time. I can only assume this was for money reason.<br /><br />The good side was that the movie was very entertaining. It held my interest (after the start) and did make me wonder about creatures from another dimension.<br /><br />It was obvious that this was a first time movie for the director, but there were a couple of highlights. By the end, I was hooked. Too bad Hollywood didn't put more money behind this."
BiGRU,1,0,0.0002378,False,"Hrm-I think that line was from the old movie posters.<br /><br />This is a dumb movie that seems to have been translated from some language that was totally unfamiliar to the translator. Here's a tip: Any movie that starts with a black screen and text reading ""In the future..."" is going to be fun. This means that the premise is so implausible that they have to explain it to you.<br /><br />In this case, ""In the future..."" means that, instead of fighting wars, nations have guys climb into giant robots and duke it out to determine, well, that's never terribly clear, but it's probably something really important. There are good guys (obviously capitalists, i.e. ""us"") and bad guys (Commies!) and there are big stop-motion robots.<br /><br />Sadly, the effects budget was pretty slim, so we don't get to see a lot of the big robots. There are plenty of cheap looking interior scenes, and then a big space fight near the end. The space fight is especially nice, as it serves precisely no purpose other than the blow the remainder of the effects budget.<br /><br />With said money now spent, the climactic fight degenerates into (and I'm not making this up) two guys hitting each other with sticks. I can always get a laugh in a bar by re-enacting the final scene, complete with a last line guaranteed to leave any audience scratching their heads.<br /><br />Like I said-it's dumb. That's why I bought the tape."
BiGRU,1,0,0.0002453,False,"""Comanche Moon"" had everything going for it. For starters, Simon Wincer's back, a man who's name is synonymous with high-quality TV westerns. Unfortunately, the problems with ""Moon"" are something even the most talented director couldn't solve: A poor script based on a lackluster novel.<br /><br />Forget historical accuracies -- as any reader of the novels can tell you, the biggest travesty in ""Moon"" is that it's not even consistent with information from the original ""Lonesome Dove"" masterpiece. So many wonderful, rich moments in the miniseries and, to an even greater degree, the book, are completely missing in ""Moon."" Considering the fact that most viewers of ""Moon"" are probably coming with at least some sort of ""Dove"" background, the lack of character-driven and emotional backstory is downright painful. <br /><br />That said, ""Moon"" is one instance where the adapted version could and should have been altered to make it more suitable for the screen. For example, the novel ""Moon"" focuses largely on the Comanches themselves. To its credit, the miniseries tries to service the Comanches, but in the end it gives them just enough that the viewer just gets a sense they're missing out on some important part of the story. Similarly, Val Kilmer's Scull loses out here too -- the role should have either been expanded so Kilmer (and Rachel Griffiths, for that matter) actually had something to do, or the roles should have just been reduced to smaller, supporting parts. Instead, Kilmer gets top billing for a character that just leaves you scratching your head after his appearance in the completely bizarre final act. <br /><br />There's strange moments throughout the film that just make no sense to those who haven't read the book (a killer parrot? what?) -- further, there isn't a single scene that shows us that Call and McCrae are anything near the amazing Texas rangers they claim to be. Not a single one of their expeditions in Moon (or ""Dead Man's Walk,"" for that matter) ends successfully, and Call and McCrae just seem to blunder their way through one pointless mission after another.<br /><br />Frankly, Larry McMurtry should never have been given the job of writing the script, and only did so because of the praise surrounding that other cowboy movie, Brokeback Mountain. McMurtry can write good novels (although there's some dissension over the consistency of that statement), but he's never exactly established himself as a scriptwriter. This production would have benefited from not only bringing back director Wincer, but original screenwriter Bill Wittcliff to adapt the novel to screen. Witcliff doesn't exactly have a mountainload of material to his screen writing credit, but no one can deny he did a fantastic job at whittling down the original ""Lonesome Dove."" With all this said, ""Comanche Moon"" is almost a brilliant production, aided by a terrific cast that unfortunately just aren't given enough to do. Steve Zahn's portrayal of Gus McCrae -- or rather, his portrayal of Robert Duvall as Gus McCrae -- is dead-on. And while some have criticized Karl Urban as Woodrow Call, saying his performance doesn't imitate the quiet, stoic Woodrow of the original movie, all I can say is: blame McMurtry, because McMurtry is the one who -- both in the ""Moon"" novel and now the miniseries -- turned Woodrow from socially inept, awkward, but natural leader, into some emotionless character whose lines are just dull and whose character motivations are only clear if you've seen them portrayed far more adequately in the ""sequel"".<br /><br />Still, it's the cast that sparkles in ""Moon,"" to the degree that I left the miniseries with that same feeling of melancholy I felt watching the original ""Lonesome Dove"" -- this time because I realized it's probably the last time we'll see these characters appear on screen for a long, long time to come -- and quite honestly, this cast could have done so well in a well-nurtured, full-blown network TV series.<br /><br />All in all, aside from wasted opportunities with the cast, the biggest travesty is that the original Lonesome Dove novel contained so much rich backstory for the characters that would have been fascinating, utterly fascinating, to see translated on screen. Unfortunately, all that has been tossed aside in favor of McMurtry's tedious, inconsistent and ultimately irrelevant, prequel."
BiLSTM,0,0,1.645e-05,True,"This has to be one of the WORST movies I have seen. I tried to like this movie but they managed to mess up practically every individual aspect that pertain to this film! Cheap dialogue, no character development, no tension, not enough story to pull you in, no action apart from some REALLY cheap scenes. It seems they tried some things on the set and said to each other ""hey this looks rather cool, why not put this in there"" after which the director probably said ""Yeah....YEAH this is genius!"" and got back to snorting coke or something. When it comes to acting I think the only person that TRIED to make the movie worked is Daan Schuurmans but in the end it is all for nothing. Cause this movie SUCKS!! 2/10"
BiLSTM,0,0,1.895e-05,True,one of the worst films i have seen to date. Pathetic action scene and really bad acting also do not help. The only good point is Gary busey's parts but this does not lift the film very much. it lives up to its B film ranking and passes the test with flying colours. A waste of my money although i found entertaining to begin with its gets annoying after a few watches. i do not recommend this film unless you watch it for free or its a gift. ( a gift you can ask for the receipt and send back for a complete refund).<br /><br />Really BAd.<br /><br />1/10.
BiLSTM,0,0,2.354e-05,True,"This may well be the worst remake Hollywood has ever produced, and that's saying something. I'll take it further than that and say this movie is so stunningly, deliriously bad that IT MUST BE SEEN. I don't know if I'm even capable of tackling all the things wrong with it--like the fact that the casting director appears to have pulled names out of a hat, or the mind-blower of Richard Gere's character being allowed to walk away scot-free at the end (I'm sure the people saying, ""It's just fiction, who cares"" would have no problem if it was a former Al-Qaeda operative who just wants to return to his home country)--so I'll just devote my review to the utter hilarity, which is mainly the scene where Bruce Willis is testing out his gun. <br /><br />In the original version, you'll recall, the Jackal practices his kill on a pumpkin. The pumpkin explodes on impact, an effect known as ""understatement."" In THIS version, Willis sets up a pumpkin target, but he doesn't use a sniper rifle--he uses a gigantic remote-controlled cannon which costs tens of thousands of dollars and can only be stored in the back of a huge conspicuous minivan (this man likes a challenge). He reveals the cannon by pulling away a tarp, at which point Jack Black, who is there to observe, jumps around and says, ""That ROCKS! This thing ROCKS!"" about 18 times (I guess Willis didn't have to disassemble it first, he just lifted it, tarp and all, out of the back of the van, despite it probably weighing several tons). The scene then turns into an Austin Powers movie as Willis misses the pumpkin and takes out a tree, then has Black run through the mud with his pants falling down, finally blowing off Black's entire arm. The pumpkin falls to the ground, unharmed. <br /><br />If I can recommend this movie for ONE non-ironic reason, it's for the Diane Venora character as a tough Russian major who becomes romantically linked to Gere despite having a facial disfigurement--a bold move for a Hollywood feature. By mid- movie I was really liking this character, so it was a shame when she had to be killed. I would have liked to see a movie about her. Other than that, this pile of crap is only useful as an objective intelligence test. 3/10."
BiLSTM,1,0,0.0003598,False,"i was a projectionist while in the U.S.A.F. and remember this movie very well. we had just been set up with Stereo Sound!! o-o-o-o-o!! well, it Was a big deal in 1959. instructions came with the reels. the overture played while the projected curtain image was closed and i followed suit with the theater curtain closed too. for intermission the theater curtain was closed and after five minutes i restarted the movie with the projection curtain closed while music used as a curtain call to the second part. being the first stereo movie i had ever seen and being such a huge musical production i certainly enjoyed watching it every time i showed it for the run."
BiLSTM,1,0,0.0005155,False,"When the movie first started I thought cheesy. The first ten minutes were really boring. After the slow beginning and some of the soap opera antics, I started liking it. The plot was different than anything I had ever seen. Now, was it a horror? Not really. It shouldn't have been classied as a horror or the producers should have put more money into the movie to make it scary. As it was, the creatures where only there for a short time. I can only assume this was for money reason.<br /><br />The good side was that the movie was very entertaining. It held my interest (after the start) and did make me wonder about creatures from another dimension.<br /><br />It was obvious that this was a first time movie for the director, but there were a couple of highlights. By the end, I was hooked. Too bad Hollywood didn't put more money behind this."
BiLSTM,1,0,0.000607,False,"I was really excited about seeing this film. I thought finally Australia had made a good film.. but I was wrong.<br /><br />This was the most pathetic attempt at a slasher film ever. I feel sorry for Molly Ringwald having to come all the way to Australia to make an awful movie.<br /><br />The acting was terrible (especially that Australian guy who was trying to speak in an American accent), and the plot was also pretty bad.<br /><br />When I first heard about this film coming out, I thought that the title was pathetic (because it sounds like the cheesy film ""Stab"" in Scream 2), but I was willing to let it slide if it was a good movie.<br /><br />WARNING!!! MAJOR SPOILERS!!!<br /><br />Probably the worst thing about the film was the ending. I was expecting a big surprise about who the killer was.. but the killer wasn't even human.. which turned this realistic slasher film into an awful horror movie.<br /><br />Don't see this film.. you'll probably be disappointed!"
CNN-BiLSTM,0,0,1.323e-05,True,"I'll say it again... one of the worst films ever made and it was made by the director that made one of my most, favorite films - ""Excalibur"". I was floored to see it got a grade of over six. This movie sucks. It looked terrible. It looked like it was shot in 18 days and Boorman must've been sleeping when he directed this. Arquette didn't do anything. Just plain terrible, rotten, unbearable and probably the only blemish in Boorman's celebrated career.<br /><br />1/10!!!!!"
CNN-BiLSTM,0,0,1.42e-05,True,one of the worst films i have seen to date. Pathetic action scene and really bad acting also do not help. The only good point is Gary busey's parts but this does not lift the film very much. it lives up to its B film ranking and passes the test with flying colours. A waste of my money although i found entertaining to begin with its gets annoying after a few watches. i do not recommend this film unless you watch it for free or its a gift. ( a gift you can ask for the receipt and send back for a complete refund).<br /><br />Really BAd.<br /><br />1/10.
CNN-BiLSTM,0,0,1.46e-05,True,"tries to be funny and fails miserably. The animation is just terrible, looks like a 2 year old threw it together in his sleep. Plot is dull and cliched. IF you have a young child, maybe rent it. but don't waste hard earned money to pay to see it.<br /><br />1/10"
CNN-BiLSTM,1,0,0.0002801,False,"I was really excited about seeing this film. I thought finally Australia had made a good film.. but I was wrong.<br /><br />This was the most pathetic attempt at a slasher film ever. I feel sorry for Molly Ringwald having to come all the way to Australia to make an awful movie.<br /><br />The acting was terrible (especially that Australian guy who was trying to speak in an American accent), and the plot was also pretty bad.<br /><br />When I first heard about this film coming out, I thought that the title was pathetic (because it sounds like the cheesy film ""Stab"" in Scream 2), but I was willing to let it slide if it was a good movie.<br /><br />WARNING!!! MAJOR SPOILERS!!!<br /><br />Probably the worst thing about the film was the ending. I was expecting a big surprise about who the killer was.. but the killer wasn't even human.. which turned this realistic slasher film into an awful horror movie.<br /><br />Don't see this film.. you'll probably be disappointed!"
CNN-BiLSTM,1,0,0.001372,False,"This is a run-of-the-mill nature porn movie. By porn, I don't mean sex. I mean gratuitous images of (for example) thousands of birds together, or hundreds of walruses, or a giant waterfall or iceberg. Several of the shots in the film seem to exist solely to make their way into the trailer, to get people into theatres to see it for all of ten seconds before it disappears never to be seen again for the rest of the film.<br /><br />There is almost no plot in this film. Told to expect a story of three animal families, ""better than March of the Penguins"", the movie simply doesn't deliver. The blame rests in three key areas: (1) the writers who gave James Earl Jones some of the worst lines to narrate in nature film history, (2) the music team who over-dramatized everything to tell you what you should be feeling, even when the film fails to motivate, and lastly but most importantly (3) the editors who had the story jump from place to place with no rhyme or reason, no continuity, no flow, sucking the life out of the entire film -- a film about life. When we got to the whales halfway through the film, I sunk back in my seat with dread, hoping against hope that the film was more than halfway through, and that I'd be able to survive the long endurance test along with the animals on screen.<br /><br />There was also almost no science in the film at all. They attributed hot and cold (all of it, not just the seasons) solely to the Earth's tilt, ignoring the fact that we'd have even greater extremes from location to location if there was no tilt because the poles would never warm. And it would be worst if we had no rotation (relative to revolution) like Mercury, because half the planet would bake and the other half would freeze. Then near the end they used the phrase ""humans and animals"", as if humans are not animals, somehow exempt from the laws of nature. So much for science.<br /><br />I must credit the camera work, however, and again that is why I call this nature porn. Everything from super-slow-motion to what appears to be a finely-tuned mechanically-controlled time-lapse photography, was put to use to provide some (and I caution, only ""some"") stunning moments that do raise the bar compared to other nature films. That said, I am not convinced that it was all nature on the screen. Some of the shots showing the great watering hole in Africa, as it changed from season to season seemed like CGI to me. A director might have expected such suspicion and built in other shots to demonstrate that it's all natural, but they didn't do that.<br /><br />For a film about Earth, I had expected a lot more of Earth to be shown. What we saw was pristine. We had to take the narrator's word for it that some species are at risk due to climate changes. They didn't show us evidence of it. They didn't show us Alberta's poisonous tailing ponds visible from space. They didn't show us the great Pacific trash whorl. They didn't show us a nighttime picture of human light pollution around the planet. These are as much Earth as anything else. Why cover it up for a feel-good whitewash? <br /><br />My last criticism of the content is of predation. Any time a predator was shown on the screen actually hunting prey, the music turned almost into that Mt Doom scene from Lord of the Rings, with the predator portrayed as some kind of Sauron ultimate-evil character. But predators aren't evil. They perform a necessary service, ensuring that the best members of the prey species survive. We are predators ourselves. Any time the predator caught the prey, we immediately cut away to something else, to sort of pretend that death and eating don't really happen. The final insult was the ""dad"" polar bear being left to die after he dared to try to eat. ""Bad bear! Bad!"", you can almost hear them say.<br /><br />On to the presentation itself. My theatre may be in part to blame for this, but maybe not. I had expected to see something with greater clarity than I could see on my own HDTV LCD at home. But the picture was blurry, and was presented in the same 16:9 ratio I could get at home, instead of the wider ratio many films come in these days. And during one action-packed scene near the end, the film (I can't imagine this happening digitally, from how it looked) was damaged, and we lost several of the colors, eventually blacking out completely. That repeated about three times.<br /><br />If they actually do plant a tree on my behalf, it will have been worth it. But how will I know?"
CNN-BiLSTM,1,0,0.0014105,False,"When the movie first started I thought cheesy. The first ten minutes were really boring. After the slow beginning and some of the soap opera antics, I started liking it. The plot was different than anything I had ever seen. Now, was it a horror? Not really. It shouldn't have been classied as a horror or the producers should have put more money into the movie to make it scary. As it was, the creatures where only there for a short time. I can only assume this was for money reason.<br /><br />The good side was that the movie was very entertaining. It held my interest (after the start) and did make me wonder about creatures from another dimension.<br /><br />It was obvious that this was a first time movie for the director, but there were a couple of highlights. By the end, I was hooked. Too bad Hollywood didn't put more money behind this."
